case_name,year,link,classification,sme_or_ml_classified
"Forbesi, R v. [2001] UKHL 40 (19th July, 2001)",2001,https://www.bailii.org/uk/cases/UKHL/2001/40.html,0,ml
"Dyason, R (On The Application Of) v Secretary Of State For Environment Transport & Regions & Anor [2001] EWHC Admin 583 (18 January 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/583.html,0,expert
Barret MckEnzie v Escada (UK) Ltd. [2001] EWHC QB 462 (01 February 2001),2001,https://www.bailii.org/ew/cases/EWHC/QB/2001/462.html,0,expert
"AMVAC Chemical UK Ltd, R (on the application of) v Secretary of State for Environment, Food & Rural Affairrs & Ors [2001] EWHC Admin 1011 (3rd December, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/1011.html,0,expert
"May, R v [2001] EWCA Crim 2788 (7th December, 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Crim/2001/2788.html,0,ml
"Amgen Parties v. Roche Parties [2001] EWHC Patents 433 (11th April, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Patents/2001/433.html,0,ml
"Bettison and Others v. Langton and Others [2001] UKHL 24; [2001] 3 All ER 417; [2001] 2 WLR 1605 (17th May, 2001)",2001,https://www.bailii.org/uk/cases/UKHL/2001/24.html,0,ml
"Dobson, R v [2001] EWCA Crim 1606 (10th July, 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Crim/2001/1606.html,0,ml
"Director Of Public Prosecutions v Heather Avery [2001] EWHC Admin 784 (11th October, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/784.html,0,ml
"Langton & Anor, R (On The Application Of) v Department For The Environment, Food & Rural Affairs & Anor [2001] EWHC Admin 1047 (17th December, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/1047.html,0,ml
Kirk v Spratley [2001] EWCA Civ 876 (17 May 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/876.html,0,expert
De Maynard v Streatham Hill Veterinary Surgery [2001] EWCA Civ 1728 (8 November 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1728.html,1,expert
"Seahawk Marine Foods Ltd v Southampton Port Health Authority [2001] EWHC Admin 246 (5th April, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/246.html,0,ml
American Home Products Corporation & Anor v Novartis Pharmaceuticals UK Ltd & Anor [2001] EWCA Civ 165 (9 February 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/165.html,1,expert
WWF (World Wide Fund for Nature) v World Wrestling Federation Entertainment Inc [2001] EWHC Ch 482 (10 August 2001),2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/482.html,0,ml
Caldwell v Maguire & Anor [2001] EWCA Civ 1054 (27 June 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1054.html,0,expert
"Secretary of State For Health and Others, Ex Parte Imperial Tobacco Limited and Others, R v. [2000] UKHL 60; [2001] 1 All ER 850; [2001] 1 WLR 127 (7th December, 2000)",2001,https://www.bailii.org/uk/cases/UKHL/2000/60.html,0,expert
"Wykeham (t/a Knightwood Kennels) & Anor v Minister Of State For Agriculture, Fisheries & Food [2001] EWHC Admin 979 (19th November, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/979.html,0,ml
"Secretary Of State For Environment, Food & Rural Affairs v Crop Protection Association UK Ltd & Anor [2001] EWCA Civ 1656 (9 November 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1656.html,0,expert
Banomova v Secretary Of State For Home Department [2001] EWCA Civ 807 (25 May 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/807.html,0,expert
Kirin-Amgen Inc. v Roche Diagnostics GmbH [2001] EWHC 518 (Pat) (11 April 2001),2001,https://www.bailii.org/ew/cases/EWHC/Patents/2001/518.html,0,ml
J & SA Wood (A Firm) v Intervention Board For Agricultural Produce [2001] EWCA Civ 1569 (23 October 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1569.html,0,ml
"Venables & Anor v News Group News Papers Ltd & Ors [2001] EWHC QB 32 (8th January, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/QB/2001/32.html,0,expert
"Prytherch, R (on the application of) v Conwy Borough Council [2001] EWHC Admin 869 (19th October, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/869.html,0,ml
"Snell & Ors v. Young & Co Ltd & Ors [2001] EWHC QB 449 (9th November, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/QB/2001/449.html,0,expert
Robinson Webster (Holdings) Ltd. v Agombar [2001] EWHC 510 (Ch) (9 April 2001),2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/510.html,0,ml
Royal Society for the Prevention of Cruelty To Animals v Attorney General & Ors [2001] EWHC 474 (Ch) (26 January 2001),2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/474.html,0,ml
"Guise v. Drew [2001] EWHC Ch 410 (8th June, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/410.html,0,ml
London Regional Transport & Anor v Mayor Of London & Anor [2001] EWCA Civ 1491 (24 August 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1491.html,0,ml
"Dyason v Secretary Of State For Environment, Transport & Regions & Anor [2001] EWCA Civ 1194 (19 July 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1194.html,0,ml
"Taylor & Sons (Farms) v Secretary Of State For The Environment, Transport & Regions [2001] EWCA Civ 1254 (31 July 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1254.html,0,ml
Bellinger v Bellinger [2001] EWCA Civ 1140 (17 July 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1140.html,0,ml
Elt v Orsler & Anor [2001] EWCA Civ 1226 (23 July 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1226.html,0,ml
"Mills v Ministry Of Agriculture, Fisheries & Food [2001] EWCA Civ 1346 (30 July 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1346.html,1,ml
"Imutran Ltd v. Uncaged Campaigns Ltd & Anor [2001] EWHC Ch 31 (11th January, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/31.html,0,ml
Sheffield City Council v Hopkins [2001] EWCA Civ 1023 (19 June 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1023.html,0,ml
"First Corporate Shipping Ltd (t/a Bristol Port Company) v North Somerset Council [2001] EWHC Admin 19 (26th January, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/19.html,1,ml
"Mirza v. Birmingham Health Authority [2001] EWHC QB 1 (31st July, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/QB/2001/1.html,0,expert
Sheffield City Council v Hopkins [2001] EWCA Civ 831 (28 March 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/831.html,0,ml
"Bristol-Myers Squibb Company v. Baker Norton Pharmaceuticals Inc and Napro Biotherapeutics Inc [2001] EWCA Civ 414 (28th March, 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/414.html,0,ml
McLoughlin v Grovers (A Firm) [2001] EWCA Civ 1743 (22 November 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1743.html,0,ml
Mirvahedy v Henley & Anor [2001] EWCA Civ 1749 (21 November 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1749.html,0,ml
L v J [2001] EWCA Civ 1199 (24 July 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1199.html,0,ml
"Deakin and Ors v. Faulding and Ors [2001] EWHC Ch 7 (31st July, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Ch/2001/7.html,0,ml
Goode v Owen & Anor [2001] EWCA Civ 2101 (20 December 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/2101.html,0,expert
Nicholls v Coroner for City of Liverpool [2001] EWHC 922 (Admin) (08 November 2001),2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/922.html,0,expert
"Castle Cement v Environment Agency [2001] EWHC Admin 224 (22nd March, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/224.html,0,expert
"First Corporate Shipping Ltd (t/a Bristol Port Company) v North Somerset Council [2001] EWHC Admin 586 (26th January, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/586.html,0,expert
Andrea Merzario Ltd v Internationale Spedition Leitner Gesellschaft GmbH [2001] EWCA Civ 61 (23 January 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/61.html,0,ml
"National Union Of Rail, Maritime & Transport Workers v London Underground Ltd & Ors [2001] EWCA Civ 211 (16 February 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/211.html,0,ml
"Quintavalle, R (on the application of) v Secretary Of State For Health [2001] EWHC Admin 918 (15th November, 2001)",2001,https://www.bailii.org/ew/cases/EWHC/Admin/2001/918.html,0,expert
Temple v South Manchester Health Authority [2002] EWCA Civ 1406 (18 October 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1406.html,0,ml
Sabaf Spa v. MFI Furniture Centres and Another [2002] EWCA Civ 976 (11 July 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/976.html,0,ml
Lavin v Johnson [2002] EWCA Civ 1138 (31 July 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1138.html,0,ml
Williamson & Ors v Secretary of State for Education and Employment [2002] EWCA Civ 1926 (12 December 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1926.html,0,expert
"Commissioners of Customs and Excise v Hoverspeed Ltd. & Ors, R (on the application of) [2002] EWCA Civ 1804 (10 December 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1804.html,0,expert
Kirin Amgen Inc and Ors v. Hoechst Marion Roussel Ltd & Ors [2002] EWCA Civ 1096 (31 July 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1096.html,0,ml
Thornby Farms Ltd v Daventry District Council & Anor [2002] EWCA Civ 58 (22 January 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/58.html,0,expert
Simms v An NHS Trust [2002] EWHC 2734 (Fam) (11 December 2002),2002,https://www.bailii.org/ew/cases/EWHC/Fam/2002/2734.html,0,expert
Hellen v ASDA Stores Ltd [2002] EWCA Civ 1475 (4 October 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1475.html,0,ml
"United Kingdom Renderers Association Ltd. & Anor v Secretary of State for the Environment Transport & Regions [2002] EWCA Civ 749 (23rd May, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/749.html,0,ml
Huyton S.A. v Distribuidora Internacional De Productos Agricolas S.A. [2002] EWHC 2088 (Comm) (25 October 2002),2002,https://www.bailii.org/ew/cases/EWHC/Comm/2002/2088.html,0,ml
Dunnett v Railtrack Plc [2002] EWCA Civ 302 (22 February 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/302.html,0,expert
"Parsons Corporation & Ors v C.V. Scheepvaartonderneming �the Happy Ranger� [2002] EWCA Civ 694 (17th May, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/694.html,0,ml
"Thornby Farms Ltd. v Daventry District Council [2002] EWCA Civ 31 (22nd January, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/31.html,0,ml
"Prolife Alliance v British Broadcasting Corporation [2002] EWCA Civ 297 (14th March, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/297.html,0,ml
"Jan De Nul (UK) Ltd. v AXA Royale Belge SA [2002] EWCA Civ 209 (20th February, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/209.html,0,ml
"Messrs RW Ramsey & Jp Ramsey v Secretary Of State For Environment, Transport & Regions & Anor [2002] EWCA Civ 118 (1 February, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/118.html,0,ml
"Jewell v McGowan & Anor [2002] EWCA Civ 145 (28th February, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/145.html,0,ml
Parsons v Warren & Anor [2002] EWCA Civ 130 (31 January 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/130.html,0,ml
Parry v Ministry Of Agriculture Fisheries & Food & Anor [2002] EWCA Civ 864 (23 May 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/864.html,0,ml
"Voaden v Champion [2002] EWCA Civ 89 (31st January, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/89.html,0,ml
"Hughes, R (on the application of) v Minister For Department Of Environment, Food & Rural Affairs & Anor [2002] EWCA Civ 103 (30 January 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/103.html,1,ml
H M Customs & Excise & Anr v MCA & Anr [2002] EWCA Civ 1039 (22 July 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1039.html,0,ml
J A Pye (Oxford) Ltd & Ors v Graham & Anor [2002] UKHL 30 (4 July 2002),2002,https://www.bailii.org/uk/cases/UKHL/2002/30.html,0,ml
Hyde v Hyde [2002] EWCA Civ 1826 (22 November 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1826.html,0,ml
"Twinsectra Limited v Yardley and Others [2002] UKHL 12 (21st March, 2002)",2002,https://www.bailii.org/uk/cases/UKHL/2002/12.html,0,ml
"English v Emery Reimbold & Strick Ltd. [2002] EWCA Civ 605 (30th April, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/605.html,0,ml
Ancare New Zealand Ltd v. Fort Dodge New Zealand & Anor (New Zealand) [2002] UKPC 8 (6 February 2002),2002,https://www.bailii.org/uk/cases/UKPC/2002/8.html,0,ml
Menashe Business Mercantile Ltd. & Anor v William Hill Organization Ltd. [2002] EWCA Civ 1702 (28 November 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1702.html,0,expert
"Lilly Icos Llc v Pfizer Ltd (1) [2002] EWCA Civ 1 (23rd January, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1.html,0,expert
"Gough & Anor v Chief Constable of Derbyshire [2002] EWCA Civ 351 (20th March, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/351.html,0,expert
Protea Leasing Ltd. v Royal Air Cambodge Company Ltd. [2002] EWHC 2731 (Comm) (12 December 2002),2002,https://www.bailii.org/ew/cases/EWHC/Comm/2002/2731.html,0,ml
"Feakins v Secretary of State for Environment, Food and Rural Affairs [2002] EWHC 2574 (Admin) (20 December 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/2574.html,1,ml
"Murray, R (on the application of) v Hampshire County Council [2002] EWHC 2491 (Admin) (21 November 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/2491.html,0,ml
"Persey & Ors v Secretary of State for Environment, Food & Rural Affairs & Ors [2002] EWHC 371 (Admin) (15th March, 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/371.html,0,ml
Director of Public Prosecutions v Dziurzynski [2002] EWHC 1380 (Admin) (28 June 2002),2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/1380.html,0,ml
"JE, R (on the application of) v Criminal Injuries Compensation Appeal Panel [2002] EWHC 1050 (Admin) (23 May 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/1050.html,0,expert
"British Aggregates Associates & Anor, R (on the application of) v HM Treasury [2002] EWHC 926 (Admin) (19 April 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/926.html,0,ml
"J & P M Dockeray (a firm) v Secretary of State for the Environment, Food & Rural Affairs [2002] EWHC 420 (Admin) (18th March, 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/420.html,0,ml
"Department for the Environment, Food and Rural Affairs v Atkinson & Anor [2002] EWHC 2028 (Admin) (9 October 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/2028.html,0,ml
Hamilton & Anor v. Papakura District Council (New Zealand) [2002] UKPC 9 (28 February 2002),2002,https://www.bailii.org/uk/cases/UKPC/2002/9.html,0,ml
Bank Of Scotland v Hill & Anor [2002] EWCA Civ 1081 (11 July 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1081.html,0,expert
Masterman-Lister v Brutton & Co [2002] EWCA Civ 1889 (19 December 2002),2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/1889.html,0,ml
"Doe, R (On the Application Of) v Secretary of State for Transport, Local Government & the Regions [2002] EWHC 2269 (Admin) (16 October 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/2269.html,1,expert
Daewoo Heavy Industries Ltd. & Anor v Klipriver Shipping Ltd. & Anor [2002] EWHC 1306 (Comm) (11 July 2002),2002,https://www.bailii.org/ew/cases/EWHC/Comm/2002/1306.html,0,ml
Westminster City Council v Haw [2002] EWHC 2073 (QB) (04 October 2002),2002,https://www.bailii.org/ew/cases/EWHC/QB/2002/2073.html,0,expert
Levi Strauss & Co & Anor v Tesco Stores Ltd & Ors [2002] EWHC 1625 (Ch) (31 July 2002),2002,https://www.bailii.org/ew/cases/EWHC/Ch/2002/1625.html,0,ml
Johnson Control Systems Ltd. v Techni-Track Europa Ltd [2002] EWHC 1613 (TCC) (02 August 2002),2002,https://www.bailii.org/ew/cases/EWHC/TCC/2002/1613.html,0,ml
"March, R v [2002] EWCA Crim 551 (15th February, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Crim/2002/551.html,0,expert
Winzar v R [2002] EWCA Crim 2950 (20 December 2002),2002,https://www.bailii.org/ew/cases/EWCA/Crim/2002/2950.html,0,ml
"Holland, R. v [2002] EWCA Crim 1585 (18 June 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Crim/2002/1585.html,1,ml
"Southampton Port Health Authority v Seahawk Marine Foods Ltd. [2002] EWCA Civ 54 (31st January, 2002)",2002,https://www.bailii.org/ew/cases/EWCA/Civ/2002/54.html,0,expert
M-L v Jewell & Home Counties Dairies [2002] EWHC 417 (QB) (15 March 2002),2002,https://www.bailii.org/ew/cases/EWHC/QB/2002/417.html,0,ml
"Aggregate Industries UK Ltd., R (on the application of) v English Nature and & Anor [2002] EWHC 908 (Admin) (24th April, 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/908.html,1,expert
"Rowley & Anor v Secretary of State for Transport Local Government and the Regions [2002] EWHC 1040 (Admin) (24th May, 2002)",2002,https://www.bailii.org/ew/cases/EWHC/Admin/2002/1040.html,0,expert
BASF Ag v Smithkline Beecham Plc [2002] EWHC 1373 (Patents) (12 July 2002),2002,https://www.bailii.org/ew/cases/EWHC/Patents/2002/1373.html,0,expert
"Campbell v Mirror Group Newspapers [2002] EWHC 499 (QB) (27th March, 2002)",2002,https://www.bailii.org/ew/cases/EWHC/QB/2002/499.html,0,ml
"Laing Homes Ltd., R (on the application of) v Secretary of State for the Environment Food and Rural Affairs [2003] EWHC 1578 (Admin) (08 July 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/1578.html,0,ml
"Feakins, R (On the Application Of) v Secretary of State for Environment, Food And Rural Affairs [2003] EWCA Civ 1546 (04 November 2003)",2003,https://www.bailii.org/ew/cases/EWCA/Civ/2003/1546.html,0,ml
"Royal Society for the Prevention of Cruelty To Animals, R (on the application of) v Shinton [2003] EWHC 1696 (Admin) (30 June 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/1696.html,1,ml
"PPG11 Ltd, R (on the application of) v Dorset County Council & Anor [2003] EWHC 1311 (Admin) (06 June 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/1311.html,1,ml
"Ann Summers Ltd., R (on the application of) v Jobcentre Plus [2003] EWHC 1416 (Admin) (18 June 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/1416.html,0,ml
Besley v John [2003] EWCA Civ 1737 (29 October 2003),2003,https://www.bailii.org/ew/cases/EWCA/Civ/2003/1737.html,0,ml
"Kelsall & Ors, R (on the application of) v Secretary of State for Environment, Food & Rural Affairs [2003] EWHC 459 (Admin) (13 March 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/459.html,0,ml
"Kelsall & Ors, R (on the application of) v Secretary of State for Environment, Food & Rural Affairs [2003] EWHC 656 (Admin) (13 March 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/656.html,0,ml
"A & Ors, R (on the application of) v East Sussex County Council & Anor [2003] EWHC 167 (Admin) (18 February 2003)",2003,https://www.bailii.org/ew/cases/EWHC/Admin/2003/167.html,0,ml
